epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.406819611787796,0.682352602481842,9.999999747378752e-06,1.2276415824890137,0.4633277356624603,0.7339233160018921,1.2236418724060059
1,0.5724911093711853,0.8310522437095642,9.999999747378752e-06,0.8571488857269287,0.7585917711257935,0.9392765760421753,0.593177318572998
2,0.6368112564086914,0.876066267490387,9.999999747378752e-06,0.7380311489105225,0.7703269124031067,0.9429453015327454,0.5680217146873474
3,0.6565577387809753,0.8908171057701111,9.999999747378752e-06,0.6750612854957581,0.7573344707489014,0.9355306625366211,0.6055834293365479
4,0.6769851446151733,0.9026741981506348,9.999999747378752e-06,0.6273338794708252,0.39312657713890076,0.7061955332756042,1.8651584386825562
0,0.6717473268508911,0.9009394645690918,9.999999747378752e-06,0.6311507225036621,0.7464375495910645,0.9386098980903625,0.5870959758758545
1,0.6901843547821045,0.911400318145752,9.999999747378752e-06,0.5869473218917847,0.7776613831520081,0.9518558979034424,0.5153595805168152
2,0.6923842430114746,0.9141432046890259,9.999999747378752e-06,0.578974723815918,0.7881391644477844,0.9569748044013977,0.4856390953063965
3,0.6951078772544861,0.9174747467041016,9.999999747378752e-06,0.5614669919013977,0.7793378233909607,0.951917290687561,0.5168973803520203
4,0.702597975730896,0.9214396476745605,9.999999747378752e-06,0.5420926213264465,0.7845767140388489,0.9528020620346069,0.5121421813964844
5,0.7167400121688843,0.9256359338760376,1.9999999949504854e-06,0.525112509727478,0.7891868948936462,0.9565958380699158,0.4875795841217041
6,0.7165305018424988,0.9265331029891968,1.9999999949504854e-06,0.518136739730835,0.7914920449256897,0.9580182433128357,0.47928109765052795
7,0.7254347205162048,0.9301542639732361,1.9999999949504854e-06,0.5016693472862244,0.7986169457435608,0.9583178758621216,0.4783056080341339
8,0.7230253219604492,0.9303569197654724,1.9999999949504854e-06,0.5087388753890991,0.7965213656425476,0.9558047652244568,0.4948980212211609
9,0.7172114253044128,0.9281547665596008,1.9999999949504854e-06,0.5104294419288635,0.7994551658630371,0.9582609534263611,0.48024001717567444
10,0.725120484828949,0.9306963086128235,9.999999974752427e-07,0.4996912181377411,0.8007124662399292,0.9582058787345886,0.48060232400894165
11,0.7268489599227905,0.9324606657028198,9.999999974752427e-07,0.5007120370864868,0.8019698262214661,0.9588256478309631,0.4771018922328949
12,0.7265346646308899,0.93095862865448,9.999999974752427e-07,0.49912306666374207,0.8057418465614319,0.9595769047737122,0.4723309278488159
13,0.7261680364608765,0.9317820072174072,9.999999974752427e-07,0.500427782535553,0.8000838160514832,0.9584803581237793,0.47900113463401794
14,0.723863422870636,0.9308265447616577,9.999999974752427e-07,0.4972248375415802,0.8011316061019897,0.9592978358268738,0.4734344482421875
